alpha,delta,id,diameter
275.0249999999999,-25.97722222222222,LDN201,111.4
343.56249999999994,-35.794999999999995,IREC5,83.0
268.07916666666665,-22.32777777777778,FeSt1-475,49.0
326.2125,-37.19611111111111,IREC6,45.0
273.5958333333333,-25.1675,LDN203,4.0
264.6166666666667,-20.361111111111114,LDN202,21.0
251.92499999999998,-12.104722222222222,LDN204 / P24,22.0
237.6958333333333,-1.6833333333333333,MBM35,20.0
276.5249999999999,-26.386666666666667,LDN205,10.0
262.7333333333333,-19.036944444444448,LDN206,113.0
270.7083333333333,-23.448333333333334,FeSt1-476,20.0
266.24583333333334,-21.02,B280 / LDN207,85.0
273.2666666666666,-24.6525,LDN208,11.0
264.48749999999995,-19.861666666666668,LDN209,7.0
272.76249999999993,-24.321666666666665,LDN212,18.0
272.31249999999994,-24.090555555555554,FeSt1-477,32.0
269.35416666666663,-22.554722222222225,FeSt1-478,34.0
272.3708333333333,-24.005,B303 / LDN210,2.0
272.41666666666663,-24.020833333333332,LDN211,5.0
272.29999999999995,-23.96333333333333,LDN213,1.0
272.3083333333333,-23.966666666666665,B302,30.0
269.5041666666666,-22.504166666666666,LDN215,178.0
264.46666666666664,-19.661944444444444,B79,30.0
264.61249999999995,-19.741944444444446,CB90,2.0
264.46666666666664,-19.661944444444444,LDN216 / P25,8.0
270.5833333333333,-23.031944444444445,B85,7.0
272.2833333333333,-23.88277777777778,LDN214,1.5
272.13749999999993,-23.808055555555555,FeSt2-326,6.0
272.5125,-23.989444444444445,LDN221 / BDN7.02-2.26,80.0
264.8374999999999,-19.822777777777777,LDN219 / P26,17.0
277.0249999999999,-26.134444444444444,LDN217,6.0
264.91249999999997,-19.816666666666666,B276,45.0
268.75,-21.974444444444444,LDN218,10.0
272.6125,-23.955555555555556,FeSt1-479,26.0
262.7291666666667,-18.470277777777778,LDN220,5.0
270.8833333333333,-22.964166666666667,FeSt2-327,6.0
264.88749999999993,-19.610000000000003,CB91,4.5
271.6333333333333,-23.310555555555556,FeSt1-480,60.0
272.1333333333333,-23.49138888888889,LDN224,7.0
